PEDIDO;Driver ID;Driver Name;Destination Hub;Data;OnHoldReason;status
BR239628755024N;288;Rebbecca Brimilcombe;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR239399649115L;287;Lynnelle Danaher;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Out of the route ;OnHold
BR239991124589A;335;Gaylene Cotton;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Address cannot be found;Delivering
BR236520812522M;92;Cyrill Stiell;LM Hub_MG_Contagem;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR236664594533X;397;Ettie Jays;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR230272341014V;382;Chance Scurrell;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR2375768205819;125;Dorice Dandy;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR234027587981P;15;Hanni Arnowicz;LM Hub_ES_Vitoria;2024-04-22 00:00:00;App/Internet failure;Delivering
BR233717105187L;93;Jewell McRill;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2390954908708;401;Davin Vanne;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2365183317509;109;Gray Hearns;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Out of the route ;OnHold
BR238603420596R;204;Gordy Shillito;LM Hub_GO_Goiânia_ St. Empresarial;2024-04-22 00:00:00;Out of the route ;Delivering
BR233831469650I;214;Latisha Vella;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR230586727106W;425;Lilyan Lynds;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR234748700559Q;475;Guss Burnall;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR238572441615P;276;Frants Nicklinson;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;App/Internet failure;Delivering
BR2333536374291;119;Lief Oliveti;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR2378809655790;66;Ilene Postle;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR238961863081V;338;Cristy Bissill;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2361846439478;68;Darryl De Clairmont;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Out of the route ;OnHold
BR2305724947283;331;Howey Hartill;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR238213080524M;301;Ryann Legrice;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2314463367609;249;Briano Astbury;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2341148949297;151;Israel Hasard;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR235324616816R;266;Irvin Pallin;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;App/Internet failure;OnHold
BR2317747439793;211;Kingston Kleinholz;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR236246394832J;27;Marielle Pow;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR235777389756H;8;Shelba Groneway;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Normal;OnHold
BR235218839219Q;113;Elmer Sabban;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR238009406622P;27;Marielle Pow;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR232871136640X;366;Kippie Fehners;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2332423284853;16;Margot Fosdike;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;App/Internet failure;Delivering
BR234251175203O;366;Kippie Fehners;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;App/Internet failure;Delivering
BR233025019453N;209;Letta Hutt;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR232033570671T;207;Celestyna Garfit;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Address cannot be found;Delivered
BR234222912985L;125;Dorice Dandy;LM Hub_SP_Embu das Artes_Jardim São Luiz;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2375996008265;442;Pearla Jeeves;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Normal;Delivering
BR234955972962C;18;Faye Jamrowicz;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Out of the route ;Delivered
BR233000378190Y;78;Othelia Graundisson;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;App/Internet failure;Delivered
BR230451353417A;43;Dugald Monelli;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2364400109243;193;Cullin Titterington;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;App/Internet failure;OnHold
BR233135227517A;284;Loella Driscoll;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR230630926948H;104;Laurella Skipsey;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Address cannot be found;Delivered
BR2306946417836;405;Barclay Eisikowitz;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR234953064400L;89;Lavinia Juszkiewicz;LM Hub_MG_Contagem;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR2301651801054;186;Torie Shearsby;LM Hub_SP_São Bernardo do Campo_Alvinopolis;2024-04-22 00:00:00;Normal;Delivered
BR232472542059C;366;Kippie Fehners;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Normal;Delivered
BR230070386123H;156;Margaret Swancock;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Out of the route ;OnHold
BR233449268206K;378;Jordan Skirving;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR237625396276D;483;Sharity Sudell;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;App/Internet failure;Delivering
BR2319608067558;88;Corilla Todhunter;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR232028207733G;215;Mariquilla Vasilik;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Normal;OnHold
BR2307706484154;260;Madelyn Ludlam;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR237039002442X;212;Brice Gianolini;LM Hub_SP_Mogi das Cruzes_Jundiapeba;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR231357627707M;128;Yank Dewar;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2348310496055;428;Gerty Juppe;LM Hub_MT_Cuiba;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2384142970895;354;Micki Creeber;LM Hub_SP_Mauá_Vila Nossa Senhora das Vitórias;2024-04-22 00:00:00;App/Internet failure;Delivering
BR231681245495C;292;Cullie Simkovich;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR233970496489X;242;Claire Greenfield;LM Hub_SP_Osasco_Bonfim;2024-04-22 00:00:00;App/Internet failure;OnHold
BR239566864903P;269;Mel Bloschke;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR237679526080G;485;Sergio Ambrosetti;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2327171214970;23;Pyotr Bea;LM Hub_SP_Sumaré_Nova Veneza;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR237370140672E;25;Wallie Tytterton;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Out of the route ;Delivered
BR237427697329I;7;Simone Hammett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Address cannot be found;Delivered
BR234302908094E;181;Joceline Abbet;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR237652221408L;287;Lynnelle Danaher;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR238135826246X;21;Sadye Bust;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Risky area of delivery;Delivered
BR2325253885497;488;Cthrine Jouannot;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR235543078219E;276;Frants Nicklinson;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2358184997127;214;Latisha Vella;LM Hub_PR_Maringá_Parque Industrial;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2322676500162;207;Celestyna Garfit;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR2332405796338;88;Corilla Todhunter;LM Hub_MG_Belo Horizonte_São Francisco;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR2384071314916;169;Gerianne Rishworth;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR235486091885L;232;Gwenneth Boxill;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;App/Internet failure;Delivered
BR235410751959U;157;Jeanelle MacKissack;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Out of the route ;Delivering
BR234955482999G;286;Tiffani Ottiwill;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR232621569393R;288;Rebbecca Brimilcombe;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR239467180698V;40;Orren Benedicto;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Normal;Delivered
BR230452957567J;230;Orbadiah Piggot;LM Hub_RS_Campo Bom_Distrito Industrial Norte;2024-04-22 00:00:00;Closed Commerce ;Delivered
BR2313601989610;338;Cristy Bissill;LM Hub_SP_Santos_Praia Grande;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR231430034821N;83;Em Rendle;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;Address cannot be found;Delivering
BR232796515293Q;189;Ronald Puvia;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;App/Internet failure;Delivered
BR239208014470X;485;Sergio Ambrosetti;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR234112379339L;322;Elsi McCrohon;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Out of the route ;Delivering
BR234852998991O;293;Merwyn Sothern;LM Hub_RS_Porto Alegre_Floresta;2024-04-22 00:00:00;App/Internet failure;Delivering
BR234475376147Q;29;Matty Byrch;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR239407505104C;446;Dareen Roche;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR232656727340F;292;Cullie Simkovich;LM Hub_SP_São Paulo_Granja Julieta;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR2390241786728;26;Monica Lowdwell;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR235483593805B;64;Sondra Wyldes;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR238176682288R;259;Babbette Whyatt;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Risky area of delivery;Delivering
BR235415569242K;118;Walton Antoniottii;LM Hub_SP_Guarulhos;2024-04-22 00:00:00;Address cannot be found;OnHold
BR238138208148Z;404;Christin Parcall;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;App/Internet failure;OnHold
BR2394476420221;211;Kingston Kleinholz;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR233835920248Q;379;Evelin McCalister;LM Hub_SP_São José dos Campos_Jardim California;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR237664025373E;167;Pennie Snelgrove;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;App/Internet failure;Delivered
BR235911709689X;194;Nicola Eger;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Normal;OnHold
BR231819808286I;106;Farlie Pimlett;LM Hub_PR_Curitiba_Pinhais;2024-04-22 00:00:00;Normal;Delivered
BR231482606471F;203;Rees Pentecust;LM Hub_RJ_São João do Meriti_Venda Velha;2024-04-22 00:00:00;Address cannot be found;Delivered
BR235911531816J;342;Eada Dermot;LM Hub_RJ_Niterói_São Lourenço;2024-04-22 00:00:00;Driver has insufficient time ;Delivering
BR233343790974N;11;Melamie Brabben;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Closed Commerce ;OnHold
BR239193799895N;148;Sherilyn Steddall;LM Hub_PR_Londrina_Parque ABC II;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR2359615881516;385;Alyse Akett;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR230071187997V;332;Bruno Kemston;LM Hub_RJ_Rio de Janeiro_Botafogo;2024-04-22 00:00:00;Buyer not at home ;Delivering
BR239313839030G;422;Ilise Corradini;LM Hub_MS_Campo_Grande;2024-04-22 00:00:00;Closed Commerce ;Delivering
BR2301862157950;217;Ivie Chivers;LM Hub_MG_Contagem;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR235497942470C;112;Allys Ionnisian;LM Hub_SP_Sorocaba_Região Norte;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR239193975443K;490;Dario Cheston;LM Hub_PR_Curitiba_Cidade Industrial;2024-04-22 00:00:00;Driver has insufficient time ;OnHold
BR238691949141E;347;Sawyere Tonepohl;LM Hub_RJ_Rio de Janeiro_São Cristóvão;2024-04-22 00:00:00;App/Internet failure;OnHold
BR233296150940N;65;Minor Alcido;LM Hub_SP_São Paulo_Barra Funda;2024-04-22 00:00:00;Risky area of delivery;OnHold
BR231653029027E;249;Briano Astbury;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Out of the route ;Delivered
BR2311650182099;228;Randal Dobbison;LM Hub_SC_Florianópolis_Distrito Industrial;2024-04-22 00:00:00;Buyer not at home ;Delivered
BR236544805851T;84;Alicia Trussell;LM Hub_SP_São Paulo_Vila Reg. Feijó;2024-04-22 00:00:00;Out of the route ;OnHold
BR234808677007Q;368;Lissie Manis;LM Hub_SP_Artur Alvim;2024-04-22 00:00:00;Out of the route ;Delivering
BR234387705354O;479;Malorie Cook;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Driver has insufficient time ;Delivered
BR239119661879I;366;Kippie Fehners;LM Hub_MG_Vespasiano_Jardim da Glória;2024-04-22 00:00:00;Address cannot be found;Delivered
BR238992756452K;314;Chase Kaley;LM Hub_SP_Campinas_Chacaras São Martinho;2024-04-22 00:00:00;App/Internet failure;OnHold
BR233217802455B;34;Marchall Ellett;LM Hub_SP_Limeira_Jardim Campo Belo;2024-04-22 00:00:00;Address cannot be found;Delivered
BR237302672193J;406;Osbourne Ashwell;LM Hub_RJ_São Gonçalo_Guaxindiba;2024-04-22 00:00:00;Buyer not at home ;OnHold
BR2339066711715;199;Neile Beautyman;LM Hub_ES_Vitoria;2024-04-22 00:00:00;Address cannot be found;Delivered
BR231964111198D;123;Stoddard Kibbe;LM Hub_DF_Brasília_SAAN;2024-04-22 00:00:00;Normal;Delivering
